n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,0.7931034482758621,0.45454545454545453
10,3,2,1,0.7931034482758621,0.3333333333333333
10,3,10,1,0.7931034482758621,0.3333333333333333
20,3,5,2,0.7931034482758621,0.3333333333333333
10,3,5,2,0.7931034482758621,0.3333333333333333
20,3,2,2,0.7931034482758621,0.3333333333333333
10,3,2,2,0.7931034482758621,0.3333333333333333
10,3,10,2,0.7931034482758621,0.3333333333333333
10,5,10,2,0.7758620689655172,0.3157894736842105
10,5,5,1,0.7758620689655172,0.3157894736842105
20,5,2,1,0.7758620689655172,0.3157894736842105
20,5,10,1,0.7758620689655172,0.3157894736842105
30,5,10,1,0.7758620689655172,0.3157894736842105
10,5,5,2,0.7758620689655172,0.3157894736842105
10,5,2,2,0.7758620689655172,0.3157894736842105
30,5,2,1,0.7586206896551724,0.3
10,5,5,4,0.7413793103448276,0.2857142857142857
10,5,10,1,0.7413793103448276,0.2857142857142857
10,5,2,4,0.7413793103448276,0.2857142857142857
10,5,10,4,0.7241379310344828,0.2727272727272727
30,3,10,4,0.7931034482758621,0.25
20,3,10,4,0.7931034482758621,0.25
30,3,5,4,0.7931034482758621,0.25
20,3,10,2,0.7931034482758621,0.25
30,3,10,2,0.7931034482758621,0.25
20,3,5,4,0.7931034482758621,0.25
30,5,5,2,0.7931034482758621,0.25
30,3,2,4,0.7931034482758621,0.25
20,3,2,4,0.7931034482758621,0.25
20,5,5,2,0.7931034482758621,0.25
30,3,5,2,0.7931034482758621,0.25
20,3,5,1,0.7931034482758621,0.25
30,3,2,2,0.7931034482758621,0.25
30,3,10,1,0.7931034482758621,0.25
20,3,10,1,0.7931034482758621,0.25
30,5,5,1,0.7931034482758621,0.25
30,5,2,2,0.7931034482758621,0.25
20,3,2,1,0.7758620689655172,0.23529411764705882
20,5,10,4,0.7758620689655172,0.23529411764705882
30,3,2,1,0.7758620689655172,0.23529411764705882
10,3,5,1,0.7758620689655172,0.23529411764705882
10,3,10,4,0.7758620689655172,0.23529411764705882
30,5,5,4,0.7758620689655172,0.23529411764705882
10,3,5,4,0.7758620689655172,0.23529411764705882
30,5,2,4,0.7758620689655172,0.23529411764705882
10,3,2,4,0.7758620689655172,0.23529411764705882
30,5,10,2,0.7758620689655172,0.23529411764705882
20,5,2,2,0.7758620689655172,0.23529411764705882
20,5,10,2,0.7758620689655172,0.23529411764705882
20,5,5,1,0.7586206896551724,0.2222222222222222
20,5,5,4,0.7586206896551724,0.2222222222222222
30,3,5,1,0.7586206896551724,0.2222222222222222
20,5,2,4,0.7586206896551724,0.2222222222222222
30,5,10,4,0.7586206896551724,0.2222222222222222
