n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,2,0.6666666666666666,0.4
20,3,10,1,0.6666666666666666,0.4
30,3,10,2,0.6666666666666666,0.4
30,5,10,2,0.6666666666666666,0.4
10,5,2,1,0.6666666666666666,0.4
10,5,5,2,0.6666666666666666,0.4
20,5,2,2,0.6666666666666666,0.4
10,5,2,2,0.6666666666666666,0.4
30,3,10,1,0.6666666666666666,0.4
20,3,10,2,0.6666666666666666,0.4
20,5,10,1,0.6666666666666666,0.4
20,5,10,2,0.6666666666666666,0.4
20,5,2,1,0.6666666666666666,0.4
20,5,10,4,0.6666666666666666,0.4
20,3,10,4,0.6666666666666666,0.4
10,5,5,1,0.5555555555555556,0.3333333333333333
20,5,2,4,0.5555555555555556,0.0
30,3,10,4,0.5555555555555556,0.0
10,3,2,4,0.6666666666666666,0.0
10,5,2,4,0.6666666666666666,0.0
20,3,2,4,0.5555555555555556,0.0
20,5,5,4,0.5555555555555556,0.0
20,3,5,4,0.5555555555555556,0.0
30,3,2,4,0.5555555555555556,0.0
30,5,2,4,0.5555555555555556,0.0
10,3,5,4,0.6666666666666666,0.0
10,3,10,4,0.6666666666666666,0.0
30,5,5,4,0.5555555555555556,0.0
30,3,5,4,0.5555555555555556,0.0
10,5,5,4,0.6666666666666666,0.0
10,5,10,4,0.6666666666666666,0.0
10,3,2,1,0.5555555555555556,0.0
10,5,10,2,0.5555555555555556,0.0
10,3,10,2,0.5555555555555556,0.0
20,3,2,1,0.5555555555555556,0.0
30,3,2,1,0.6666666666666666,0.0
30,5,2,1,0.5555555555555556,0.0
10,3,5,1,0.5555555555555556,0.0
20,3,5,1,0.5555555555555556,0.0
20,5,5,1,0.5555555555555556,0.0
30,3,5,1,0.5555555555555556,0.0
30,5,5,1,0.5555555555555556,0.0
10,3,10,1,0.5555555555555556,0.0
10,5,10,1,0.5555555555555556,0.0
30,5,10,1,0.5555555555555556,0.0
10,3,2,2,0.5555555555555556,0.0
20,3,2,2,0.5555555555555556,0.0
30,3,2,2,0.6666666666666666,0.0
30,5,2,2,0.6666666666666666,0.0
10,3,5,2,0.5555555555555556,0.0
20,3,5,2,0.5555555555555556,0.0
30,3,5,2,0.6666666666666666,0.0
30,5,5,2,0.6666666666666666,0.0
30,5,10,4,0.5555555555555556,0.0
